,amecaji,TOP_RGB,BOTTOM_RGB,path
0,,"(45, 53, 56)","(81, 76, 73)",amecaji_images/1_0.webp
1,,"(79, 76, 70)","(165, 142, 130)",amecaji_images/1_1.webp
2,,"(110, 107, 100)","(102, 88, 75)",amecaji_images/1_2.webp
3,,"(101, 118, 162)","(169, 152, 139)",amecaji_images/1_3.webp
4,,"(69, 64, 54)","(41, 39, 37)",amecaji_images/1_4.webp
5,,"(37, 41, 55)","(54, 55, 62)",amecaji_images/1_5.webp
6,,"(93, 95, 107)","(101, 103, 118)",amecaji_images/1_6.webp
7,,"(91, 114, 143)","(135, 159, 186)",amecaji_images/1_7.webp
8,,"(82, 107, 147)","(150, 158, 186)",amecaji_images/1_8.webp
9,,"(94, 70, 56)","(55, 59, 69)",amecaji_images/1_9.webp
10,,"(147, 150, 149)","(75, 74, 75)",amecaji_images/1_10.webp
11,,"(40, 43, 48)","(53, 59, 75)",amecaji_images/1_11.webp
12,,"(49, 56, 68)","(59, 55, 55)",amecaji_images/1_12.webp
13,,"(75, 78, 95)","(85, 94, 113)",amecaji_images/1_13.webp
14,,"(46, 47, 49)","(152, 149, 148)",amecaji_images/1_14.webp
15,,"(111, 118, 152)","(94, 84, 90)",amecaji_images/1_15.webp
16,,"(90, 87, 81)","(53, 76, 102)",amecaji_images/1_16.webp
17,,"(131, 124, 115)","(159, 151, 140)",amecaji_images/1_17.webp
18,,"(34, 34, 37)","(52, 59, 54)",amecaji_images/1_18.webp
19,,"(111, 109, 117)","(113, 125, 128)",amecaji_images/1_19.webp
20,,"(48, 59, 91)","(86, 81, 93)",amecaji_images/1_20.webp
21,,"(85, 77, 74)","(99, 81, 86)",amecaji_images/1_21.webp
22,,"(90, 52, 66)","(64, 59, 72)",amecaji_images/1_22.webp
23,,"(117, 95, 98)","(125, 121, 133)",amecaji_images/1_23.webp
24,,"(70, 80, 105)","(81, 92, 114)",amecaji_images/1_24.webp
25,,"(63, 65, 74)","(125, 129, 133)",amecaji_images/1_25.webp
26,,"(67, 60, 59)","(65, 75, 93)",amecaji_images/1_26.webp
27,,"(118, 140, 169)","(122, 135, 162)",amecaji_images/1_27.webp
28,,"(129, 117, 107)","(96, 92, 84)",amecaji_images/1_28.webp
29,,"(62, 66, 69)",,amecaji_images/1_29.webp
30,,"(60, 87, 131)","(89, 136, 179)",amecaji_images/1_30.webp
31,,"(61, 60, 54)","(163, 131, 96)",amecaji_images/1_31.webp
32,,"(99, 102, 91)","(107, 97, 88)",amecaji_images/1_32.webp
33,,"(21, 45, 76)","(135, 105, 85)",amecaji_images/1_34.webp
34,,"(76, 81, 94)","(68, 74, 88)",amecaji_images/1_35.webp
35,,"(80, 84, 105)","(49, 52, 69)",amecaji_images/1_36.webp
36,,"(39, 38, 41)","(30, 30, 33)",amecaji_images/1_37.webp
37,,"(52, 56, 62)","(66, 66, 71)",amecaji_images/1_38.webp
38,,"(60, 70, 68)","(46, 52, 54)",amecaji_images/1_39.webp
39,,"(114, 76, 48)","(143, 114, 94)",amecaji_images/1_40.webp
40,,"(111, 101, 97)","(174, 153, 132)",amecaji_images/1_41.webp
41,,"(46, 67, 96)","(68, 74, 95)",amecaji_images/1_42.webp
42,,"(80, 71, 74)","(45, 84, 137)",amecaji_images/1_43.webp
43,,"(56, 56, 60)","(47, 46, 47)",amecaji_images/1_44.webp
44,,"(93, 88, 93)","(94, 88, 91)",amecaji_images/1_45.webp
45,,"(55, 74, 104)","(89, 103, 123)",amecaji_images/1_46.webp
46,,"(91, 106, 135)","(140, 156, 188)",amecaji_images/1_47.webp
47,,"(109, 97, 95)","(147, 143, 151)",amecaji_images/1_48.webp
48,,"(92, 92, 104)","(78, 119, 156)",amecaji_images/1_49.webp
49,,"(75, 76, 87)","(75, 79, 89)",amecaji_images/1_50.webp
50,,"(87, 107, 141)","(97, 106, 131)",amecaji_images/1_51.webp
51,,"(77, 71, 70)","(105, 97, 104)",amecaji_images/1_52.webp
52,,"(49, 52, 65)","(84, 81, 87)",amecaji_images/1_53.webp
53,,"(49, 53, 62)","(92, 82, 78)",amecaji_images/1_54.webp
54,,"(115, 89, 87)","(87, 79, 77)",amecaji_images/1_55.webp
55,,"(123, 140, 177)","(131, 140, 170)",amecaji_images/1_56.webp
56,,"(54, 55, 59)","(152, 151, 160)",amecaji_images/1_57.webp
57,,"(60, 68, 91)","(95, 97, 111)",amecaji_images/1_58.webp
58,,"(91, 85, 104)","(65, 83, 126)",amecaji_images/1_59.webp
59,,"(122, 141, 158)","(121, 133, 136)",amecaji_images/2_0.webp
60,,"(145, 150, 157)","(101, 121, 145)",amecaji_images/2_1.webp
61,,"(96, 106, 117)","(198, 189, 195)",amecaji_images/2_2.webp
62,,"(71, 69, 92)","(91, 92, 110)",amecaji_images/2_3.webp
63,,"(113, 130, 148)","(121, 137, 121)",amecaji_images/2_4.webp
64,,"(120, 166, 202)","(120, 176, 217)",amecaji_images/2_5.webp
65,,"(92, 87, 93)","(88, 80, 86)",amecaji_images/2_6.webp
66,,"(107, 126, 146)","(97, 114, 123)",amecaji_images/2_7.webp
67,,"(37, 44, 76)","(211, 203, 222)",amecaji_images/2_8.webp
68,,"(133, 119, 106)","(143, 128, 115)",amecaji_images/2_9.webp
69,,"(171, 145, 168)","(82, 100, 104)",amecaji_images/2_10.webp
70,,"(53, 61, 85)","(53, 68, 99)",amecaji_images/2_11.webp
71,,"(96, 100, 110)","(30, 31, 42)",amecaji_images/2_12.webp
72,,"(113, 122, 136)","(97, 106, 115)",amecaji_images/2_13.webp
73,,"(174, 119, 115)","(124, 137, 159)",amecaji_images/2_14.webp
74,,"(35, 32, 33)","(39, 37, 38)",amecaji_images/2_15.webp
75,,"(68, 75, 107)","(95, 91, 118)",amecaji_images/2_16.webp
76,,"(92, 119, 165)","(105, 122, 156)",amecaji_images/2_17.webp
77,,"(35, 45, 76)","(88, 115, 159)",amecaji_images/2_18.webp
78,,"(65, 68, 72)","(42, 48, 56)",amecaji_images/2_19.webp
79,,"(92, 88, 92)","(70, 63, 55)",amecaji_images/2_20.webp
80,,"(90, 73, 58)","(130, 116, 105)",amecaji_images/2_21.webp
81,,"(52, 53, 75)","(78, 76, 92)",amecaji_images/2_22.webp
82,,"(148, 149, 161)","(109, 119, 136)",amecaji_images/2_23.webp
83,,"(121, 99, 88)","(133, 110, 91)",amecaji_images/2_24.webp
84,,"(85, 86, 104)","(84, 82, 98)",amecaji_images/2_25.webp
85,,"(44, 46, 50)",,amecaji_images/2_26.webp
86,,"(114, 104, 90)","(83, 95, 107)",amecaji_images/2_27.webp
87,,"(59, 74, 95)","(51, 56, 65)",amecaji_images/2_28.webp
88,,"(147, 114, 92)","(74, 85, 104)",amecaji_images/2_29.webp
89,,"(140, 128, 107)","(94, 114, 139)",amecaji_images/2_30.webp
90,,"(30, 39, 48)","(79, 79, 67)",amecaji_images/2_31.webp
91,,"(126, 116, 98)","(126, 113, 103)",amecaji_images/2_32.webp
