,businesscasual,TOP_RGB,BOTTOM_RGB,path
0,,"(90, 90, 100)","(166, 179, 183)",businesscasual_images/1_0.webp
1,,"(138, 127, 135)","(51, 65, 76)",businesscasual_images/1_1.webp
2,,"(103, 107, 128)","(109, 115, 135)",businesscasual_images/1_2.webp
3,,"(80, 85, 108)","(125, 141, 165)",businesscasual_images/1_3.webp
4,,"(91, 96, 109)","(169, 111, 126)",businesscasual_images/1_4.webp
5,,"(100, 85, 83)","(77, 71, 70)",businesscasual_images/1_5.webp
6,,"(78, 74, 81)","(72, 68, 75)",businesscasual_images/1_6.webp
7,,"(123, 114, 96)","(178, 149, 117)",businesscasual_images/1_7.webp
8,,"(64, 65, 72)","(48, 48, 53)",businesscasual_images/1_9.webp
9,,"(48, 50, 53)","(21, 24, 29)",businesscasual_images/1_10.webp
10,,"(56, 55, 69)","(34, 45, 65)",businesscasual_images/1_11.webp
11,,"(91, 75, 67)","(200, 197, 200)",businesscasual_images/1_12.webp
12,,"(77, 77, 91)",,businesscasual_images/1_13.webp
13,,"(52, 51, 60)","(55, 56, 66)",businesscasual_images/1_14.webp
14,,"(42, 82, 92)","(176, 169, 180)",businesscasual_images/1_15.webp
15,,"(61, 71, 98)","(70, 77, 101)",businesscasual_images/1_16.webp
16,,"(74, 78, 92)","(57, 57, 75)",businesscasual_images/1_17.webp
17,,"(50, 52, 72)","(67, 68, 84)",businesscasual_images/1_18.webp
18,,"(50, 54, 78)","(59, 58, 73)",businesscasual_images/1_19.webp
19,,"(55, 50, 54)","(55, 53, 57)",businesscasual_images/1_20.webp
20,,"(67, 74, 91)","(194, 179, 174)",businesscasual_images/1_21.webp
21,,"(200, 192, 186)","(171, 156, 149)",businesscasual_images/1_22.webp
22,,"(134, 111, 102)","(127, 110, 101)",businesscasual_images/1_23.webp
23,,"(62, 74, 88)","(60, 75, 90)",businesscasual_images/1_24.webp
24,,"(111, 115, 127)","(38, 46, 56)",businesscasual_images/1_25.webp
25,,"(71, 75, 87)","(81, 63, 63)",businesscasual_images/1_26.webp
26,,"(154, 141, 136)","(61, 57, 64)",businesscasual_images/1_27.webp
27,,"(122, 105, 104)","(135, 116, 110)",businesscasual_images/1_28.webp
28,,"(101, 94, 95)",,businesscasual_images/1_29.webp
29,,"(144, 111, 50)","(120, 88, 68)",businesscasual_images/1_30.webp
30,,"(121, 114, 110)",,businesscasual_images/1_31.webp
31,,"(54, 54, 60)","(60, 60, 64)",businesscasual_images/1_32.webp
32,,"(74, 119, 90)",,businesscasual_images/1_33.webp
33,,"(70, 64, 75)","(161, 135, 135)",businesscasual_images/1_34.webp
34,,"(108, 115, 141)","(173, 157, 167)",businesscasual_images/1_35.webp
35,,"(57, 63, 79)","(78, 86, 108)",businesscasual_images/1_36.webp
36,,"(93, 96, 120)","(63, 65, 89)",businesscasual_images/1_37.webp
37,,"(83, 78, 72)",,businesscasual_images/1_38.webp
38,,"(107, 99, 113)","(105, 111, 125)",businesscasual_images/1_39.webp
39,,"(71, 70, 70)","(32, 31, 31)",businesscasual_images/1_40.webp
40,,"(52, 54, 65)",,businesscasual_images/1_41.webp
41,,"(15, 16, 25)","(114, 87, 63)",businesscasual_images/1_42.webp
42,,"(120, 102, 95)",,businesscasual_images/1_43.webp
43,,"(136, 131, 120)","(137, 124, 123)",businesscasual_images/1_44.webp
44,,"(87, 88, 70)","(23, 23, 25)",businesscasual_images/1_45.webp
45,,"(106, 105, 102)","(129, 127, 125)",businesscasual_images/1_46.webp
46,,"(70, 72, 66)","(68, 70, 69)",businesscasual_images/1_47.webp
47,,"(117, 90, 63)","(136, 100, 59)",businesscasual_images/1_48.webp
48,,"(136, 129, 117)","(100, 96, 87)",businesscasual_images/1_49.webp
