,chic,TOP_RGB,BOTTOM_RGB,path
0,,"(48, 51, 67)","(96, 85, 84)",chic_images/1_0.webp
1,,"(163, 161, 169)","(174, 139, 144)",chic_images/1_1.webp
2,,"(122, 125, 152)","(180, 154, 164)",chic_images/1_2.webp
3,,"(189, 188, 200)","(174, 162, 158)",chic_images/1_3.webp
4,,"(177, 173, 184)","(187, 168, 171)",chic_images/1_4.webp
5,,"(44, 56, 77)","(147, 138, 155)",chic_images/1_5.webp
6,,"(136, 119, 107)","(68, 65, 65)",chic_images/1_6.webp
7,,"(157, 150, 157)","(131, 124, 128)",chic_images/1_7.webp
8,,"(98, 90, 101)","(43, 53, 74)",chic_images/1_8.webp
9,,"(65, 72, 90)","(65, 71, 93)",chic_images/1_9.webp
10,,"(194, 195, 224)","(179, 176, 178)",chic_images/1_10.webp
11,,"(173, 150, 153)","(194, 188, 196)",chic_images/1_11.webp
12,,"(171, 176, 180)","(53, 55, 60)",chic_images/1_12.webp
13,,"(118, 110, 105)",,chic_images/1_13.webp
14,,"(76, 66, 67)","(114, 95, 89)",chic_images/1_14.webp
15,,"(167, 176, 210)","(124, 123, 133)",chic_images/1_15.webp
16,,"(116, 121, 127)",,chic_images/1_16.webp
17,,"(94, 87, 85)","(163, 160, 174)",chic_images/1_17.webp
18,,"(103, 98, 108)","(47, 51, 59)",chic_images/1_18.webp
19,,"(120, 107, 110)",,chic_images/1_19.webp
20,,"(102, 102, 113)",,chic_images/1_20.webp
21,,"(83, 86, 103)",,chic_images/1_21.webp
22,,"(198, 192, 194)","(150, 146, 151)",chic_images/1_23.webp
23,,"(94, 88, 92)","(195, 188, 190)",chic_images/1_24.webp
24,,"(66, 70, 85)","(91, 71, 65)",chic_images/1_25.webp
25,,"(52, 52, 56)","(66, 58, 58)",chic_images/1_26.webp
26,,"(101, 101, 119)","(123, 117, 115)",chic_images/1_27.webp
27,,"(45, 53, 69)","(137, 124, 129)",chic_images/1_28.webp
28,,"(152, 149, 160)",,chic_images/1_29.webp
29,,"(100, 101, 115)","(113, 103, 109)",chic_images/1_30.webp
30,,"(148, 130, 119)","(79, 72, 72)",chic_images/1_31.webp
31,,"(93, 99, 115)","(82, 82, 81)",chic_images/1_32.webp
32,,"(189, 187, 197)","(204, 204, 216)",chic_images/1_33.webp
33,,"(186, 183, 208)","(70, 74, 81)",chic_images/1_34.webp
34,,"(71, 76, 85)","(110, 126, 150)",chic_images/1_35.webp
35,,"(105, 129, 168)","(174, 167, 174)",chic_images/1_36.webp
36,,"(46, 51, 65)","(85, 88, 107)",chic_images/1_37.webp
37,,"(169, 176, 189)","(80, 91, 106)",chic_images/1_38.webp
38,,"(55, 61, 77)","(150, 159, 188)",chic_images/1_39.webp
39,,"(142, 154, 172)","(105, 114, 133)",chic_images/1_40.webp
40,,"(72, 89, 131)","(85, 98, 134)",chic_images/1_41.webp
41,,"(114, 106, 117)","(114, 110, 121)",chic_images/1_42.webp
42,,"(83, 91, 103)","(52, 70, 93)",chic_images/1_43.webp
43,,"(162, 176, 206)","(120, 156, 188)",chic_images/1_44.webp
44,,"(61, 62, 75)","(127, 113, 120)",chic_images/1_45.webp
45,,"(39, 36, 38)","(33, 27, 29)",chic_images/1_46.webp
46,,"(81, 83, 85)","(77, 73, 78)",chic_images/1_47.webp
47,,"(162, 168, 179)","(125, 123, 129)",chic_images/1_48.webp
48,,"(100, 96, 103)","(114, 116, 134)",chic_images/1_49.webp
49,,"(104, 99, 96)","(50, 49, 53)",chic_images/1_50.webp
50,,"(91, 86, 98)","(67, 66, 71)",chic_images/1_51.webp
51,,"(126, 134, 148)","(176, 169, 176)",chic_images/1_52.webp
52,,"(92, 99, 116)","(153, 137, 144)",chic_images/1_53.webp
53,,"(122, 139, 178)","(148, 128, 123)",chic_images/1_54.webp
54,,"(61, 58, 60)","(62, 58, 59)",chic_images/1_55.webp
55,,"(29, 33, 39)","(80, 82, 89)",chic_images/1_56.webp
56,,"(140, 145, 169)","(69, 78, 95)",chic_images/1_57.webp
57,,"(61, 64, 66)","(131, 116, 97)",chic_images/1_58.webp
58,,"(134, 135, 150)","(54, 59, 69)",chic_images/1_59.webp
59,,"(140, 145, 169)","(69, 78, 95)",chic_images/2_0.webp
60,,"(151, 138, 59)","(163, 141, 137)",chic_images/2_1.webp
61,,"(61, 66, 83)","(126, 151, 188)",chic_images/2_2.webp
62,,"(52, 42, 36)",,chic_images/2_3.webp
63,,"(107, 58, 83)","(98, 98, 115)",chic_images/2_4.webp
64,,"(87, 79, 85)",,chic_images/2_5.webp
65,,"(62, 63, 77)","(191, 168, 152)",chic_images/2_6.webp
66,,"(94, 101, 119)","(104, 110, 130)",chic_images/2_7.webp
67,,"(48, 44, 46)","(35, 33, 38)",chic_images/2_8.webp
68,,"(52, 42, 36)",,chic_images/2_9.webp
69,,"(135, 131, 141)",,chic_images/2_10.webp
70,,"(49, 52, 64)","(69, 74, 85)",chic_images/2_11.webp
71,,"(131, 127, 139)","(143, 147, 169)",chic_images/2_12.webp
72,,"(130, 119, 127)","(91, 92, 102)",chic_images/2_13.webp
73,,"(101, 91, 97)","(90, 87, 93)",chic_images/2_14.webp
74,,"(56, 69, 88)","(112, 126, 156)",chic_images/2_15.webp
75,,"(84, 92, 112)",,chic_images/2_16.webp
76,,"(81, 80, 91)","(37, 43, 56)",chic_images/2_17.webp
77,,"(78, 52, 57)","(192, 197, 205)",chic_images/2_18.webp
78,,"(88, 98, 116)","(77, 91, 123)",chic_images/2_19.webp
79,,"(190, 158, 134)","(97, 99, 106)",chic_images/2_20.webp
80,,"(104, 91, 85)","(92, 79, 68)",chic_images/2_21.webp
81,,"(51, 55, 61)","(81, 75, 78)",chic_images/2_22.webp
82,,"(77, 83, 105)","(73, 81, 99)",chic_images/2_23.webp
83,,"(159, 133, 117)","(134, 131, 140)",chic_images/2_24.webp
84,,"(65, 63, 65)",,chic_images/2_25.webp
85,,"(67, 60, 62)","(69, 61, 58)",chic_images/2_26.webp
86,,"(59, 66, 83)",,chic_images/2_27.webp
87,,"(44, 46, 51)","(49, 48, 50)",chic_images/2_28.webp
88,,"(126, 129, 133)","(51, 48, 47)",chic_images/2_29.webp
89,,"(84, 77, 85)","(103, 91, 96)",chic_images/2_30.webp
90,,"(116, 105, 108)",,chic_images/2_31.webp
91,,"(125, 113, 114)","(91, 84, 89)",chic_images/2_32.webp
92,,"(62, 59, 65)","(111, 99, 95)",chic_images/2_33.webp
93,,"(77, 70, 62)",,chic_images/2_34.webp
94,,"(33, 32, 30)",,chic_images/2_35.webp
95,,"(82, 84, 93)",,chic_images/2_36.webp
96,,"(70, 70, 80)",,chic_images/2_37.webp
97,,"(76, 77, 91)","(171, 143, 145)",chic_images/2_38.webp
98,,"(75, 76, 82)",,chic_images/2_39.webp
99,,"(138, 140, 145)","(120, 125, 133)",chic_images/2_40.webp
100,,"(151, 150, 162)","(76, 79, 90)",chic_images/2_41.webp
101,,"(127, 119, 128)","(140, 116, 114)",chic_images/2_42.webp
102,,"(102, 103, 114)","(70, 73, 85)",chic_images/2_43.webp
103,,"(67, 68, 77)",,chic_images/2_44.webp
104,,"(188, 65, 87)",,chic_images/2_45.webp
105,,"(173, 171, 173)","(69, 64, 66)",chic_images/2_46.webp
106,,"(74, 69, 66)",,chic_images/2_47.webp
107,,"(56, 58, 65)","(153, 161, 171)",chic_images/2_48.webp
108,,"(57, 63, 74)","(115, 102, 107)",chic_images/2_49.webp
109,,"(64, 70, 87)","(130, 135, 160)",chic_images/2_50.webp
110,,"(122, 117, 119)","(72, 70, 71)",chic_images/2_51.webp
111,,"(82, 67, 84)",,chic_images/2_52.webp
112,,"(111, 109, 113)",,chic_images/2_53.webp
113,,"(142, 121, 114)","(189, 170, 165)",chic_images/2_54.webp
114,,"(163, 163, 165)","(149, 175, 140)",chic_images/2_56.webp
