,TOP_RGB,BOTTOM_RGB,path
0,"(48, 43, 48)","(103, 113, 127)",casual_images/1_0.webp
1,"(214, 167, 73)","(102, 97, 96)",casual_images/1_1.webp
2,"(114, 128, 153)","(58, 66, 77)",casual_images/1_2.webp
3,"(55, 57, 63)","(131, 123, 116)",casual_images/1_3.webp
4,"(154, 149, 153)","(117, 122, 121)",casual_images/1_4.webp
5,"(104, 95, 49)","(41, 42, 47)",casual_images/1_5.webp
6,"(183, 186, 196)","(201, 201, 205)",casual_images/1_6.webp
7,"(128, 135, 164)","(87, 78, 77)",casual_images/1_7.webp
8,"(99, 76, 88)","(57, 71, 89)",casual_images/1_8.webp
9,"(65, 69, 72)","(117, 113, 115)",casual_images/1_9.webp
10,"(160, 153, 160)","(171, 166, 180)",casual_images/1_10.webp
11,"(30, 31, 35)","(163, 164, 169)",casual_images/1_11.webp
12,"(131, 136, 143)","(115, 105, 113)",casual_images/1_12.webp
13,"(135, 138, 145)","(115, 128, 149)",casual_images/1_13.webp
14,"(178, 173, 172)","(101, 116, 138)",casual_images/1_14.webp
15,"(121, 85, 67)","(79, 98, 132)",casual_images/1_15.webp
16,"(211, 212, 220)","(160, 157, 150)",casual_images/1_16.webp
17,"(70, 71, 91)","(194, 192, 218)",casual_images/1_17.webp
18,"(189, 181, 183)","(34, 34, 39)",casual_images/1_18.webp
19,"(68, 67, 67)","(136, 160, 191)",casual_images/1_19.webp
20,"(49, 53, 60)","(138, 137, 141)",casual_images/1_20.webp
21,"(89, 101, 123)","(179, 165, 169)",casual_images/1_21.webp
23,"(187, 187, 203)","(76, 77, 83)",casual_images/1_23.webp
24,"(76, 75, 81)","(167, 170, 177)",casual_images/1_24.webp
25,"(152, 145, 148)","(165, 149, 175)",casual_images/1_25.webp
26,"(80, 85, 92)","(101, 106, 114)",casual_images/1_26.webp
27,"(102, 99, 100)","(61, 63, 68)",casual_images/1_27.webp
28,"(54, 59, 73)","(72, 72, 87)",casual_images/1_28.webp
29,"(197, 34, 43)","(73, 69, 80)",casual_images/1_29.webp
30,"(161, 143, 166)","(102, 125, 155)",casual_images/1_30.webp
31,"(135, 143, 153)","(141, 124, 125)",casual_images/1_31.webp
32,"(196, 191, 195)","(92, 103, 112)",casual_images/1_32.webp
33,"(64, 117, 126)","(52, 51, 60)",casual_images/1_33.webp
34,"(89, 34, 41)","(112, 120, 136)",casual_images/1_34.webp
35,"(43, 50, 64)","(123, 116, 111)",casual_images/1_35.webp
36,"(115, 117, 124)","(136, 132, 136)",casual_images/1_36.webp
37,"(138, 148, 164)","(175, 183, 203)",casual_images/1_37.webp
38,"(58, 71, 90)","(60, 59, 49)",casual_images/1_38.webp
39,"(167, 164, 186)","(92, 102, 129)",casual_images/1_39.webp
40,"(80, 109, 154)","(87, 92, 112)",casual_images/1_40.webp
41,"(157, 132, 126)","(146, 141, 148)",casual_images/1_41.webp
