,TOP_RGB,BOTTOM_RGB,path
0,"(196, 192, 193)","(59, 54, 54)",street_images/1_0.webp
1,"(124, 122, 128)","(84, 51, 59)",street_images/1_1.webp
2,"(76, 78, 84)","(61, 62, 65)",street_images/1_2.webp
3,"(89, 80, 79)","(34, 28, 26)",street_images/1_3.webp
5,"(151, 132, 128)","(161, 135, 121)",street_images/1_5.webp
6,"(95, 89, 88)","(139, 124, 117)",street_images/1_6.webp
7,"(80, 77, 68)","(44, 35, 31)",street_images/1_7.webp
8,"(109, 115, 126)","(63, 60, 67)",street_images/1_8.webp
9,"(154, 163, 171)","(92, 103, 105)",street_images/1_9.webp
10,"(100, 130, 130)","(126, 133, 124)",street_images/1_10.webp
11,"(146, 144, 139)","(117, 124, 129)",street_images/1_11.webp
12,"(148, 150, 160)","(130, 110, 111)",street_images/1_12.webp
13,"(96, 113, 132)","(149, 143, 141)",street_images/1_13.webp
15,"(57, 56, 63)","(15, 14, 16)",street_images/1_15.webp
17,"(230, 215, 202)","(14, 18, 22)",street_images/1_17.webp
18,"(106, 97, 96)","(180, 164, 153)",street_images/1_18.webp
19,"(49, 49, 57)","(88, 81, 76)",street_images/1_19.webp
20,"(127, 131, 129)","(145, 134, 125)",street_images/1_20.webp
21,"(213, 218, 221)","(143, 143, 147)",street_images/1_21.webp
22,"(146, 148, 156)","(94, 86, 79)",street_images/1_22.webp
23,"(202, 200, 211)","(77, 75, 72)",street_images/1_23.webp
24,"(181, 169, 170)","(188, 182, 200)",street_images/1_24.webp
25,"(52, 54, 62)","(58, 58, 65)",street_images/1_25.webp
26,"(121, 114, 114)","(72, 70, 74)",street_images/1_26.webp
29,"(165, 169, 169)","(66, 67, 73)",street_images/1_29.webp
30,"(87, 78, 81)","(115, 113, 117)",street_images/1_30.webp
31,"(186, 47, 50)","(57, 50, 46)",street_images/1_31.webp
32,"(83, 82, 82)","(88, 48, 42)",street_images/1_32.webp
33,"(167, 174, 164)","(162, 157, 154)",street_images/1_33.webp
34,"(134, 123, 115)","(92, 86, 83)",street_images/1_34.webp
