,street,TOP_RGB,BOTTOM_RGB,path
0,,"(165, 159, 169)","(32, 30, 33)",street_images/1_0.webp
1,,"(48, 44, 45)","(85, 79, 69)",street_images/1_1.webp
2,,"(73, 79, 96)","(137, 145, 149)",street_images/1_2.webp
3,,"(164, 159, 153)","(63, 61, 52)",street_images/1_3.webp
4,,"(126, 106, 120)","(74, 69, 73)",street_images/1_4.webp
5,,"(77, 68, 137)","(108, 104, 100)",street_images/1_5.webp
6,,"(91, 112, 140)","(56, 50, 49)",street_images/1_6.webp
7,,"(83, 72, 69)","(57, 55, 59)",street_images/1_7.webp
8,,"(196, 192, 193)","(59, 54, 54)",street_images/1_8.webp
9,,"(124, 122, 128)","(84, 51, 59)",street_images/1_9.webp
10,,"(76, 78, 84)","(61, 62, 65)",street_images/1_10.webp
11,,"(89, 80, 79)","(34, 28, 26)",street_images/1_11.webp
12,,"(84, 73, 67)",,street_images/1_12.webp
13,,"(151, 132, 128)","(161, 135, 121)",street_images/1_13.webp
14,,"(95, 89, 88)","(139, 124, 117)",street_images/1_14.webp
15,,"(80, 77, 68)","(42, 34, 30)",street_images/1_15.webp
16,,"(109, 115, 126)","(63, 60, 67)",street_images/1_16.webp
17,,"(154, 163, 171)","(92, 103, 105)",street_images/1_17.webp
18,,"(100, 130, 130)","(126, 133, 124)",street_images/1_18.webp
19,,"(146, 144, 139)","(117, 124, 129)",street_images/1_19.webp
20,,"(148, 150, 160)","(130, 110, 111)",street_images/1_20.webp
21,,"(96, 113, 132)","(149, 143, 141)",street_images/1_21.webp
22,,"(163, 134, 87)",,street_images/1_22.webp
23,,"(57, 56, 63)","(15, 14, 16)",street_images/1_23.webp
24,,"(108, 102, 99)",,street_images/1_24.webp
25,,"(230, 215, 202)","(14, 18, 22)",street_images/1_25.webp
26,,"(106, 97, 96)","(180, 164, 153)",street_images/1_26.webp
27,,"(49, 49, 57)","(88, 81, 76)",street_images/1_27.webp
28,,"(127, 131, 129)","(145, 134, 125)",street_images/1_28.webp
29,,"(213, 218, 221)","(143, 143, 147)",street_images/1_29.webp
30,,"(146, 148, 156)","(94, 86, 79)",street_images/1_30.webp
31,,"(202, 200, 211)","(77, 75, 72)",street_images/1_31.webp
32,,"(181, 169, 170)","(188, 182, 200)",street_images/1_32.webp
33,,"(52, 54, 62)","(58, 58, 65)",street_images/1_33.webp
34,,"(121, 114, 114)","(72, 70, 74)",street_images/1_34.webp
35,,"(94, 87, 82)",,street_images/1_35.webp
36,,"(157, 129, 121)",,street_images/1_36.webp
37,,"(165, 169, 169)","(66, 67, 73)",street_images/1_37.webp
38,,"(87, 78, 81)","(115, 113, 117)",street_images/1_38.webp
39,,"(186, 47, 50)","(57, 50, 46)",street_images/1_39.webp
40,,"(83, 82, 82)","(88, 48, 42)",street_images/1_40.webp
41,,"(167, 174, 164)","(162, 157, 154)",street_images/1_41.webp
42,,"(134, 123, 115)","(92, 86, 83)",street_images/1_42.webp
43,,"(173, 164, 175)","(127, 106, 105)",street_images/1_43.webp
44,,"(49, 47, 54)","(144, 147, 170)",street_images/1_44.webp
45,,"(142, 164, 198)","(157, 152, 161)",street_images/1_45.webp
46,,"(71, 67, 69)",,street_images/1_46.webp
47,,"(173, 123, 147)","(140, 133, 140)",street_images/1_47.webp
48,,"(93, 120, 157)","(51, 86, 139)",street_images/1_48.webp
49,,"(58, 56, 55)","(120, 134, 150)",street_images/1_49.webp
50,,"(94, 68, 91)","(53, 77, 106)",street_images/1_50.webp
51,,"(212, 212, 227)","(152, 155, 155)",street_images/1_51.webp
52,,"(49, 48, 40)","(22, 19, 23)",street_images/1_52.webp
53,,"(89, 83, 71)",,street_images/1_53.webp
54,,"(55, 42, 36)","(191, 162, 144)",street_images/1_54.webp
55,,"(75, 67, 71)","(208, 171, 173)",street_images/1_55.webp
56,,"(134, 132, 148)","(112, 118, 129)",street_images/1_56.webp
57,,"(148, 168, 211)","(143, 146, 161)",street_images/1_57.webp
58,,"(137, 139, 140)","(86, 86, 87)",street_images/1_58.webp
59,,"(120, 101, 94)","(124, 95, 73)",street_images/1_59.webp
60,,"(229, 222, 220)","(161, 157, 154)",street_images/2_0.webp
61,,"(88, 104, 96)","(152, 162, 191)",street_images/2_1.webp
62,,"(120, 101, 94)","(124, 95, 73)",street_images/2_2.webp
63,,"(166, 157, 159)","(149, 134, 137)",street_images/2_3.webp
64,,"(176, 160, 148)","(191, 173, 159)",street_images/2_4.webp
65,,"(147, 80, 87)","(93, 88, 85)",street_images/2_5.webp
66,,"(140, 135, 125)","(76, 69, 74)",street_images/2_6.webp
67,,"(117, 137, 161)","(50, 50, 48)",street_images/2_7.webp
68,,"(40, 74, 122)","(30, 55, 90)",street_images/2_8.webp
69,,"(43, 48, 55)","(161, 163, 177)",street_images/2_9.webp
70,,"(98, 84, 89)","(170, 137, 125)",street_images/2_10.webp
71,,"(22, 20, 21)","(58, 53, 53)",street_images/2_11.webp
72,,"(34, 26, 20)","(53, 48, 46)",street_images/2_12.webp
73,,"(217, 196, 202)","(96, 77, 70)",street_images/2_13.webp
74,,"(218, 211, 204)","(122, 118, 119)",street_images/2_14.webp
75,,"(83, 80, 79)","(85, 82, 82)",street_images/2_15.webp
76,,"(59, 61, 65)","(124, 135, 140)",street_images/2_16.webp
77,,"(46, 43, 45)","(157, 155, 156)",street_images/2_17.webp
78,,"(61, 62, 67)","(75, 64, 58)",street_images/2_18.webp
79,,"(112, 101, 94)",,street_images/2_19.webp
80,,"(22, 24, 22)","(40, 41, 42)",street_images/2_20.webp
81,,"(117, 124, 137)","(62, 57, 58)",street_images/2_21.webp
82,,"(114, 114, 113)","(89, 104, 125)",street_images/2_22.webp
83,,"(97, 96, 94)","(103, 102, 99)",street_images/2_23.webp
84,,"(129, 143, 163)","(62, 69, 85)",street_images/2_24.webp
85,,"(61, 57, 63)","(47, 50, 57)",street_images/2_25.webp
86,,"(57, 63, 66)","(42, 47, 49)",street_images/2_26.webp
87,,"(85, 67, 76)","(41, 36, 43)",street_images/2_27.webp
88,,"(70, 79, 90)","(46, 47, 50)",street_images/2_28.webp
89,,"(39, 45, 60)","(131, 126, 122)",street_images/2_29.webp
90,,"(129, 121, 135)","(149, 144, 153)",street_images/2_30.webp
91,,"(188, 188, 204)","(97, 100, 106)",street_images/2_31.webp
92,,"(200, 194, 197)","(153, 149, 146)",street_images/2_32.webp
93,,"(83, 80, 79)","(85, 82, 82)",street_images/2_33.webp
94,,"(188, 184, 184)","(123, 121, 121)",street_images/2_34.webp
95,,"(81, 71, 66)","(113, 94, 85)",street_images/2_35.webp
96,,"(108, 96, 97)","(104, 88, 72)",street_images/2_36.webp
97,,"(151, 128, 117)","(151, 129, 121)",street_images/2_37.webp
98,,"(51, 49, 54)","(120, 127, 141)",street_images/2_38.webp
99,,"(46, 43, 45)","(157, 155, 156)",street_images/2_39.webp
100,,"(61, 62, 67)","(75, 64, 58)",street_images/2_40.webp
101,,"(186, 154, 85)","(73, 74, 67)",street_images/2_41.webp
102,,"(143, 139, 134)","(123, 119, 109)",street_images/2_42.webp
103,,"(144, 145, 142)","(53, 87, 110)",street_images/2_43.webp
104,,"(93, 90, 84)","(64, 66, 66)",street_images/2_44.webp
105,,"(154, 157, 152)","(159, 140, 131)",street_images/2_45.webp
106,,"(63, 63, 65)","(13, 14, 16)",street_images/2_46.webp
107,,"(56, 50, 49)","(73, 64, 61)",street_images/2_47.webp
108,,"(108, 82, 80)","(123, 132, 156)",street_images/2_48.webp
109,,"(148, 7, 23)","(84, 68, 61)",street_images/2_49.webp
110,,"(47, 43, 48)",,street_images/2_50.webp
111,,"(214, 185, 155)","(156, 150, 154)",street_images/2_51.webp
112,,"(96, 86, 83)","(93, 90, 95)",street_images/2_52.webp
113,,"(150, 144, 137)",,street_images/2_53.webp
114,,"(148, 133, 118)","(132, 138, 142)",street_images/2_54.webp
115,,"(174, 165, 179)","(128, 123, 128)",street_images/2_55.webp
116,,"(59, 61, 68)","(31, 32, 35)",street_images/2_56.webp
117,,"(130, 141, 148)","(125, 134, 140)",street_images/2_57.webp
118,,"(90, 100, 110)",,street_images/2_58.webp
119,,"(32, 34, 33)","(35, 37, 36)",street_images/2_59.webp
120,,"(70, 70, 81)","(97, 98, 109)",street_images/3_0.webp
121,,"(177, 188, 204)","(57, 67, 79)",street_images/3_1.webp
122,,"(43, 46, 51)","(88, 92, 96)",street_images/3_2.webp
123,,"(77, 72, 77)","(86, 74, 77)",street_images/3_3.webp
124,,"(57, 56, 60)","(89, 91, 108)",street_images/3_4.webp
125,,"(128, 127, 126)","(95, 117, 140)",street_images/3_5.webp
126,,"(133, 135, 137)",,street_images/3_6.webp
127,,"(84, 60, 40)","(89, 82, 78)",street_images/3_7.webp
128,,"(145, 161, 175)","(114, 92, 92)",street_images/3_8.webp
129,,"(176, 174, 176)","(117, 123, 136)",street_images/3_9.webp
130,,"(109, 118, 127)","(84, 86, 90)",street_images/3_10.webp
131,,"(44, 40, 43)","(120, 113, 115)",street_images/3_11.webp
132,,"(54, 58, 63)","(83, 82, 82)",street_images/3_12.webp
133,,"(88, 84, 86)","(79, 72, 73)",street_images/3_13.webp
134,,"(103, 82, 81)",,street_images/3_14.webp
135,,"(167, 151, 139)","(188, 174, 170)",street_images/3_15.webp
136,,"(67, 66, 69)","(84, 88, 98)",street_images/3_16.webp
137,,"(62, 63, 64)","(105, 103, 100)",street_images/3_18.webp
138,,"(70, 72, 83)","(85, 97, 92)",street_images/3_19.webp
139,,"(130, 138, 159)","(88, 90, 94)",street_images/3_20.webp
140,,"(53, 53, 56)","(23, 24, 26)",street_images/3_21.webp
141,,"(171, 122, 91)","(46, 61, 87)",street_images/3_22.webp
142,,"(42, 36, 34)","(105, 91, 86)",street_images/3_23.webp
143,,"(128, 129, 126)","(78, 76, 75)",street_images/3_24.webp
144,,"(104, 109, 113)","(143, 146, 151)",street_images/3_25.webp
145,,"(158, 52, 52)","(220, 149, 173)",street_images/3_26.webp
146,,"(56, 114, 163)","(97, 110, 128)",street_images/3_27.webp
147,,"(71, 70, 66)","(105, 117, 128)",street_images/3_28.webp
